Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A1,M17,S1,0,20,3865,Archaea,69939,13988,4.15,1,A1,D,D0A1,19307.75,270076774,8.43
A1,M18,S1,0,20,3865,Archaea,70153,14031,4.15,2,A1,D,D0A1,19307.75,270907007,8.43
A1,N17,S1,0,20,3865,Archaea,78330,15666,4.19,3,A1,D,D0A1,19307.75,302475174,8.48
A1,N18,S1,0,20,3865,Archaea,62351,12470,4.1,4,A1,D,D0A1,19307.75,240767613,8.38
A2,K14,S10,0,20,1881,Archaea,77322,15464,4.19,1,A10,D,D0A10,14029.29,216948980,8.34
A2,L14,S10,0,20,1881,Archaea,27552,5510,3.74,2,A10,D,D0A10,14029.29,77301402,7.89
A2,L22,S10,0,20,1881,Archaea,37629,7526,3.88,3,A10,D,D0A10,14029.29,105584456,8.02
A2,M14,S11,0,20,2259,Archaea,71837,14367,4.16,1,A11,D,D0A11,6657.1,95642488,7.98
A2,N14,S11,0,20,2259,Archaea,49341,9868,3.99,2,A11,D,D0A11,6657.1,65692216,7.82
A2,N22,S11,0,20,2259,Archaea,62150,12430,4.09,3,A11,D,D0A11,6657.1,82747694,7.92
A2,O14,S12,0,20,2407,Archaea,14829,2966,3.47,1,A12,D,D0A12,15399.29,45674305,7.66
A2,P14,S12,0,20,2407,Archaea,16006,3201,3.51,2,A12,D,D0A12,15399.29,49293138,7.69
A2,P22,S12,0,20,2407,Archaea,7055,1411,3.15,3,A12,D,D0A12,15399.29,21728403,7.34
A2,A15,S13,0,20,2408,Archaea,68126,13625,4.13,1,A13,D,D0A13,7328.64,99852758,8
A2,A23,S13,0,20,2408,Archaea,101532,20306,4.31,2,A13,D,D0A13,7328.64,148815421,8.17
A2,B15,S13,0,20,2408,Archaea,86868,17374,4.24,3,A13,D,D0A13,7328.64,127327840,8.1
A2,B23,S14,0,20,2411,Archaea,47684,9537,3.98,1,A14,D,D0A14,8705.78,83027043,7.92
A2,C15,S14,0,20,2411,Archaea,64859,12972,4.11,2,A14,D,D0A14,8705.78,112931404,8.05
A2,D15,S14,0,20,2411,Archaea,26859,5372,3.73,3,A14,D,D0A14,8705.78,46767461,7.67
A2,C23,S15,0,20,2417,Archaea,60950,12190,4.09,1,A15,D,D0A15,9441.02,115086095,8.06
A2,E15,S15,0,20,2417,Archaea,65810,13162,4.12,2,A15,D,D0A15,9441.02,124262771,8.09
A2,F15,S15,0,20,2417,Archaea,30885,6177,3.79,3,A15,D,D0A15,9441.02,58317211,7.77
A2,D23,S16,0,20,4254,Archaea,82436,16487,4.22,1,A16,D,D0A16,18750.44,309138538,8.49
A2,G15,S16,0,20,4254,Archaea,71078,14216,4.15,2,A16,D,D0A16,18750.44,266556284,8.43
A2,H15,S16,0,20,4254,Archaea,128862,25772,4.41,3,A16,D,D0A16,18750.44,483236392,8.68
A2,E23,S17,0,20,2665,Archaea,136133,27227,4.43,1,A17,D,D0A17,30038.81,817866688,8.91
A2,I15,S17,0,20,2665,Archaea,152958,30592,4.49,2,A17,D,D0A17,30038.81,918947284,8.96
A2,J15,S17,0,20,2665,Archaea,87953,17591,4.25,3,A17,D,D0A17,30038.81,528412712,8.72
A2,F23,S18,0,20,6127,Archaea,54739,10948,4.04,1,A18,D,D0A18,8190.18,89666074,7.95
A2,K15,S18,0,20,6127,Archaea,58801,11760,4.07,2,A18,D,D0A18,8190.18,96316499,7.98
A2,L15,S18,0,20,6127,Archaea,102297,20459,4.31,3,A18,D,D0A18,8190.18,167562861,8.22
A2,G23,S19,0,20,6135,Archaea,57590,11518,4.06,1,A19,D,D0A19,9752.91,112334052,8.05
A2,M15,S19,0,20,6135,Archaea,30449,6090,3.78,2,A19,D,D0A19,9752.91,59395240,7.77
A2,N15,S19,0,20,6135,Archaea,41063,8213,3.91,3,A19,D,D0A19,9752.91,80100674,7.9
A1,O17,S2,0,20,4779,Archaea,47554,9511,3.98,1,A2,D,D0A2,15848.2,150732217,8.18
A1,O18,S2,0,20,4779,Archaea,40999,8200,3.91,2,A2,D,D0A2,15848.2,129955229,8.11
A1,P17,S2,0,20,4779,Archaea,45281,9056,3.96,3,A2,D,D0A2,15848.2,143521287,8.16
A1,P18,S2,0,20,4779,Archaea,55471,11094,4.05,4,A2,D,D0A2,15848.2,175819916,8.25
A2,H23,S20,0,20,6177,Archaea,74028,14806,4.17,1,A20,D,D0A20,11375.5,168425641,8.23
A2,O15,S20,0,20,6177,Archaea,26685,5337,3.73,2,A20,D,D0A20,11375.5,60711039,7.78
A2,P15,S20,0,20,6177,Archaea,79571,15914,4.2,3,A20,D,D0A20,11375.5,181029695,8.26
A1,A19,S3,0,20,2318,Archaea,21183,4237,3.63,1,A3,D,D0A3,17702.18,75004157,7.88
A1,A20,S3,0,20,2318,Archaea,22922,4584,3.66,2,A3,D,D0A3,17702.18,81146815,7.91
A1,B19,S3,0,20,2318,Archaea,21388,4278,3.63,3,A3,D,D0A3,17702.18,75729946,7.88
A1,B20,S3,0,20,2318,Archaea,23534,4707,3.67,4,A3,D,D0A3,17702.18,83324184,7.92
A1,C19,S4,0,20,3919,Archaea,56406,11281,4.05,1,A4,D,D0A4,22671.33,255755278,8.41
A1,C20,S4,0,20,3919,Archaea,64479,12896,4.11,2,A4,D,D0A4,22671.33,292369476,8.47
A1,D19,S4,0,20,3919,Archaea,51703,10341,4.01,3,A4,D,D0A4,22671.33,234444227,8.37
A1,D20,S4,0,20,3919,Archaea,59189,11838,4.07,4,A4,D,D0A4,22671.33,268383209,8.43
A1,E19,S5,0,20,2512,Archaea,29728,5946,3.77,1,A5,D,D0A5,25542.83,151877672,8.18
A1,E20,S5,0,20,2512,Archaea,33016,6603,3.82,2,A5,D,D0A5,25542.83,168659312,8.23
A1,F19,S5,0,20,2512,Archaea,27917,5583,3.75,3,A5,D,D0A5,25542.83,142605625,8.15
A1,F20,S5,0,20,2512,Archaea,36967,7393,3.87,4,A5,D,D0A5,25542.83,188838149,8.28
A2,C14,S6,0,20,116,Archaea,108912,21782,4.34,1,A6,D,D0A6,18476.44,402453856,8.6
A2,D14,S6,0,20,116,Archaea,125785,25157,4.4,2,A6,D,D0A6,18476.44,464811847,8.67
A2,D22,S6,0,20,116,Archaea,241228,48246,4.68,3,A6,D,D0A6,18476.44,891414413,8.95
A2,E14,S7,0,20,124,Archaea,65156,13031,4.11,1,A7,D,D0A7,5829.6,75965566,7.88
A2,F14,S7,0,20,124,Archaea,42000,8400,3.92,2,A7,D,D0A7,5829.6,48968671,7.69
A2,F22,S7,0,20,124,Archaea,38435,7687,3.89,3,A7,D,D0A7,5829.6,44812164,7.65
A2,G14,S8,0,20,353,Archaea,105437,21087,4.32,1,A8,D,D0A8,11530.89,243151964,8.39
A2,H14,S8,0,20,353,Archaea,77857,15571,4.19,2,A8,D,D0A8,11530.89,179547552,8.25
A2,H22,S8,0,20,353,Archaea,106187,21237,4.33,3,A8,D,D0A8,11530.89,244881598,8.39
A2,I14,S9,0,20,6023,Archaea,58620,11724,4.07,1,A9,D,D0A9,8279.13,97064549,7.99
A2,J14,S9,0,20,6023,Archaea,27119,5424,3.73,2,A9,D,D0A9,8279.13,44906014,7.65
A2,J22,S9,0,20,6023,Archaea,20008,4002,3.6,3,A9,D,D0A9,8279.13,33133088,7.52
A1,M07,S1,14,20,3865,Archaea,95201,19040,4.28,1,A1,D,D14A1,25229.76,480374676,8.68
A1,M08,S1,14,20,3865,Archaea,86550,17310,4.24,2,A1,D,D14A1,25229.76,436727187,8.64
A1,N07,S1,14,20,3865,Archaea,97106,19421,4.29,3,A1,D,D14A1,25229.76,489987215,8.69
A1,N08,S1,14,20,3865,Archaea,81227,16245,4.21,4,A1,D,D14A1,25229.76,409857490,8.61
A2,C07,S10,14,20,1881,Archaea,14470,2894,3.46,1,A10,D,D14A10,16278.63,47110360,7.67
A2,C19,S10,14,20,1881,Archaea,21159,4232,3.63,2,A10,D,D14A10,16278.63,68891170,7.84
A2,D07,S10,14,20,1881,Archaea,18249,3650,3.56,3,A10,D,D14A10,16278.63,59417006,7.77
A2,E07,S11,14,20,2259,Archaea,16553,3311,3.52,1,A11,D,D14A11,15681.49,51921428,7.72
A2,E19,S11,14,20,2259,Archaea,56794,11359,4.06,2,A11,D,D14A11,15681.49,178126096,8.25
A2,F07,S11,14,20,2259,Archaea,19779,3956,3.6,3,A11,D,D14A11,15681.49,62035992,7.79
A2,G07,S12,14,20,2407,Archaea,6259,1252,3.1,1,A12,D,D14A12,19715.31,24683571,7.39
A2,G19,S12,14,20,2407,Archaea,113,23,1.35,2,A12,D,D14A12,19715.31,453452,5.66
A2,H07,S12,14,20,2407,Archaea,5160,1032,3.01,3,A12,D,D14A12,19715.31,20346202,7.31
A2,I07,S13,14,20,2408,Archaea,15554,3111,3.49,1,A13,D,D14A13,11384.03,35415705,7.55
A2,I19,S13,14,20,2408,Archaea,61552,12310,4.09,2,A13,D,D14A13,11384.03,140137359,8.15
A2,J07,S13,14,20,2408,Archaea,12483,2497,3.4,3,A13,D,D14A13,11384.03,28425913,7.45
A2,K07,S14,14,20,2411,Archaea,7675,1535,3.19,1,A14,D,D14A14,10460.18,16056371,7.21
A2,K19,S14,14,20,2411,Archaea,10672,2134,3.33,2,A14,D,D14A14,10460.18,22322017,7.35
A2,L07,S14,14,20,2411,Archaea,5449,1090,3.04,3,A14,D,D14A14,10460.18,11401593,7.06
A2,M07,S15,14,20,2417,Archaea,45302,9060,3.96,1,A15,D,D14A15,8825.65,79960430,7.9
A2,M19,S15,14,20,2417,Archaea,77447,15489,4.19,2,A15,D,D14A15,8825.65,136700563,8.14
A2,N07,S15,14,20,2417,Archaea,21225,4245,3.63,3,A15,D,D14A15,8825.65,37464903,7.57
A2,O07,S16,14,20,4254,Archaea,38206,7641,3.88,1,A16,D,D14A16,22028.24,168317786,8.23
A2,O19,S16,14,20,4254,Archaea,27208,5442,3.74,2,A16,D,D14A16,22028.24,119877685,8.08
A2,P07,S16,14,20,4254,Archaea,100637,20127,4.3,3,A16,D,D14A16,22028.24,443362397,8.65
A2,A08,S17,14,20,2665,Archaea,70938,14188,4.15,1,A17,D,D14A17,24855.92,352655815,8.55
A2,B08,S17,14,20,2665,Archaea,68608,13722,4.14,2,A17,D,D14A17,24855.92,341072956,8.53
A2,B19,S17,14,20,2665,Archaea,157986,31597,4.5,3,A17,D,D14A17,24855.92,785372554,8.9
A2,C08,S18,14,20,6127,Archaea,22213,4443,3.65,1,A18,D,D14A18,11869.95,52738179,7.72
A2,D08,S18,14,20,6127,Archaea,22406,4481,3.65,2,A18,D,D14A18,11869.95,53189237,7.73
A2,D19,S18,14,20,6127,Archaea,25152,5030,3.7,3,A18,D,D14A18,11869.95,59705838,7.78
A2,E08,S19,14,20,6135,Archaea,20600,4120,3.61,1,A19,D,D14A19,16191.49,66708921,7.82
A2,F08,S19,14,20,6135,Archaea,17878,3576,3.55,2,A19,D,D14A19,16191.49,57900753,7.76
A2,F19,S19,14,20,6135,Archaea,64699,12940,4.11,3,A19,D,D14A19,16191.49,209517826,8.32
A1,O07,S2,14,20,4779,Archaea,60035,12007,4.08,1,A2,D,D14A2,17199.53,206514784,8.31
A1,O08,S2,14,20,4779,Archaea,63073,12615,4.1,2,A2,D,D14A2,17199.53,216972099,8.34
A1,P07,S2,14,20,4779,Archaea,76922,15384,4.19,3,A2,D,D14A2,17199.53,264597604,8.42
A1,P08,S2,14,20,4779,Archaea,68638,13728,4.14,4,A2,D,D14A2,17199.53,236115179,8.37
A2,G08,S20,14,20,6177,Archaea,13580,2716,3.43,1,A20,D,D14A20,18842.35,51175830,7.71
A2,H08,S20,14,20,6177,Archaea,18848,3770,3.58,2,A20,D,D14A20,18842.35,71035670,7.85
A2,H19,S20,14,20,6177,Archaea,40240,8048,3.91,3,A20,D,D14A20,18842.35,151643254,8.18
A1,A09,S3,14,20,2318,Archaea,18369,3674,3.57,1,A3,D,D14A3,17977.36,66048831,7.82
A1,A10,S3,14,20,2318,Archaea,17687,3537,3.55,2,A3,D,D14A3,17977.36,63585932,7.8
A1,B09,S3,14,20,2318,Archaea,18427,3685,3.57,3,A3,D,D14A3,17977.36,66246582,7.82
A1,B10,S3,14,20,2318,Archaea,14514,2903,3.46,4,A3,D,D14A3,17977.36,52188284,7.72
A1,C09,S4,14,20,3919,Archaea,77309,15462,4.19,1,A4,D,D14A4,35332.33,546308413,8.74
A1,C10,S4,14,20,3919,Archaea,70181,14036,4.15,2,A4,D,D14A4,35332.33,495924517,8.7
A1,D09,S4,14,20,3919,Archaea,75668,15134,4.18,3,A4,D,D14A4,35332.33,534719410,8.73
A1,D10,S4,14,20,3919,Archaea,75559,15112,4.18,4,A4,D,D14A4,35332.33,533942099,8.73
A1,E09,S5,14,20,2512,Archaea,30411,6082,3.78,1,A5,D,D14A5,27332.51,166236326,8.22
A1,E10,S5,14,20,2512,Archaea,32819,6564,3.82,2,A5,D,D14A5,27332.51,179410595,8.25
A1,F09,S5,14,20,2512,Archaea,33603,6721,3.83,3,A5,D,D14A5,27332.51,183701800,8.26
A1,F10,S5,14,20,2512,Archaea,34774,6955,3.84,4,A5,D,D14A5,27332.51,190097607,8.28
A2,K06,S6,14,20,116,Archaea,66240,13248,4.12,1,A6,D,D14A6,21630.45,286560250,8.46
A2,L06,S6,14,20,116,Archaea,165421,33084,4.52,2,A6,D,D14A6,21630.45,715621928,8.85
A2,L18,S6,14,20,116,Archaea,92548,18510,4.27,3,A6,D,D14A6,21630.45,400379697,8.6
A2,M06,S7,14,20,124,Archaea,20114,4023,3.6,1,A7,D,D14A7,9504.84,38237991,7.58
A2,N06,S7,14,20,124,Archaea,18652,3730,3.57,2,A7,D,D14A7,9504.84,35453072,7.55
A2,N18,S7,14,20,124,Archaea,49939,9988,4,3,A7,D,D14A7,9504.84,94934391,7.98
A2,O06,S8,14,20,353,Archaea,69622,13924,4.14,1,A8,D,D14A8,7657.23,106619281,8.03
A2,P06,S8,14,20,353,Archaea,211865,42373,4.63,2,A8,D,D14A8,7657.23,324459840,8.51
A2,P18,S8,14,20,353,Archaea,96898,19380,4.29,3,A8,D,D14A8,7657.23,148397132,8.17
A2,A07,S9,14,20,6023,Archaea,22968,4594,3.66,1,A9,D,D14A9,9462.65,43471391,7.64
A2,A19,S9,14,20,6023,Archaea,34003,6801,3.83,2,A9,D,D14A9,9462.65,64355449,7.81
A2,B07,S9,14,20,6023,Archaea,14658,2932,3.47,3,A9,D,D14A9,9462.65,27744475,7.44
A1,A01,S1,1,20,3865,Archaea,4159,832,2.92,1,A1,D,D1A1,25454.99,21178551,7.33
A1,A02,S1,1,20,3865,Archaea,89629,17926,4.25,2,A1,D,D1A1,25454.99,456306146,8.66
A1,B01,S1,1,20,3865,Archaea,89403,17881,4.25,3,A1,D,D1A1,25454.99,455160671,8.66
A1,B02,S1,1,20,3865,Archaea,106511,21302,4.33,4,A1,D,D1A1,25454.99,542242191,8.73
A2,I01,S10,1,20,1881,Archaea,26964,5393,3.73,1,A10,D,D1A10,14245.67,76826893,7.89
A2,I16,S10,1,20,1881,Archaea,27440,5488,3.74,2,A10,D,D1A10,14245.67,78180232,7.89
A2,J01,S10,1,20,1881,Archaea,15819,3164,3.5,3,A10,D,D1A10,14245.67,45073297,7.65
A2,K01,S11,1,20,2259,Archaea,31473,6295,3.8,1,A11,D,D1A11,13722.59,86383678,7.94
A2,K16,S11,1,20,2259,Archaea,42968,8594,3.93,2,A11,D,D1A11,13722.59,117931902,8.07
A2,L01,S11,1,20,2259,Archaea,31187,6237,3.8,3,A11,D,D1A11,13722.59,85587768,7.93
A2,M01,S12,1,20,2407,Archaea,10353,2071,3.32,1,A12,D,D1A12,12972.75,26866555,7.43
A2,M16,S12,1,20,2407,Archaea,17919,3584,3.55,2,A12,D,D1A12,12972.75,46494319,7.67
A2,N01,S12,1,20,2407,Archaea,4316,863,2.94,3,A12,D,D1A12,12972.75,11195479,7.05
A2,O01,S13,1,20,2408,Archaea,24082,,3.67,1,A13,D,D1A13,7884.14,21628036265,9.29
A2,O16,S13,1,20,2408,Archaea,55545,11109,4.05,2,A13,D,D1A13,7884.14,87584908,7.94
A2,P01,S13,1,20,2408,Archaea,27376792,5475358,6.74,3,A13,D,D1A13,7884.14,43168487622,10.64
A2,A02,S14,1,20,2411,Archaea,21587,4317,3.64,1,A14,D,D1A14,7739.53,33411569,7.52
A2,B02,S14,1,20,2411,Archaea,19339,3868,3.59,2,A14,D,D1A14,7739.53,29936518,7.48
A2,B16,S14,1,20,2411,Archaea,18242,3648,3.56,3,A14,D,D1A14,7739.53,28233820,7.45
A2,C02,S15,1,20,2417,Archaea,40400,8080,3.91,1,A15,D,D1A15,8090.33,65369868,7.82
A2,D02,S15,1,20,2417,Archaea,91232,18246,4.26,2,A15,D,D1A15,8090.33,147616164,8.17
A2,D16,S15,1,20,2417,Archaea,39523,7905,3.9,3,A15,D,D1A15,8090.33,63954060,7.81
A2,E02,S16,1,20,4254,Archaea,72120,14424,4.16,1,A16,D,D1A16,18370.07,264969864,8.42
A2,F02,S16,1,20,4254,Archaea,112708,22542,4.35,2,A16,D,D1A16,18370.07,414098078,8.62
A2,F16,S16,1,20,4254,Archaea,37568,7514,3.88,3,A16,D,D1A16,18370.07,138032693,8.14
A2,G02,S17,1,20,2665,Archaea,98749,19750,4.3,1,A17,D,D1A17,22542.71,445218551,8.65
A2,H02,S17,1,20,2665,Archaea,74373,14875,4.17,2,A17,D,D1A17,22542.71,335322833,8.53
