Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,SampleID,SampleID2,Order,DNA_ng_per_gsoilDM_serial,B_no_gc_per_g_soil,B_no_gc_per_g_soil_log10
A1,M17,S1,0,20,3865,Bacteria,2077670,415534,5.62,1,S1,A1,D0A1,D0A1,19307.75,8023025603,9.9
A1,M18,S1,0,20,3865,Bacteria,2191992,438398,5.64,2,S1,A1,D0A1,D0A1,19307.75,8464477945,9.93
A1,N17,S1,0,20,3865,Bacteria,2008026,401605,5.6,3,S1,A1,D0A1,D0A1,19307.75,7754087987,9.89
A1,N18,S1,0,20,3865,Bacteria,1750752,350150,5.54,4,S1,A1,D0A1,D0A1,19307.75,6760607832,9.83
A2,K14,S10,0,20,1881,Bacteria,1782862,356572,5.55,1,S10,A10,D0A10,D0A10,14029.29,5002452913,9.7
A2,L14,S10,0,20,1881,Bacteria,1345630,269126,5.43,2,S10,A10,D0A10,D0A10,14029.29,3775647394,9.58
A2,L22,S10,0,20,1881,Bacteria,1744714,348943,5.54,3,S10,A10,D0A10,D0A10,14029.29,4895423440,9.69
A2,M14,S11,0,20,2259,Bacteria,1770419,354084,5.55,1,S11,A11,D0A11,D0A11,6657.1,2357170921,9.37
A2,N14,S11,0,20,2259,Bacteria,6405366,1281073,6.11,2,S11,A11,D0A11,D0A11,6657.1,8528225007,9.93
A2,N22,S11,0,20,2259,Bacteria,7095388,1419078,6.15,3,S11,A11,D0A11,D0A11,6657.1,9446937440,9.98
A2,O14,S12,0,20,2407,Bacteria,941850,188370,5.28,1,S12,A12,D0A12,D0A12,15399.29,2900764915,9.46
A2,P14,S12,0,20,2407,Bacteria,2188330,437666,5.64,2,S12,A12,D0A12,D0A12,15399.29,6739747186,9.83
A2,P22,S12,0,20,2407,Bacteria,561438,112288,5.05,3,S12,A12,D0A12,D0A12,15399.29,1729155868,9.24
A2,A15,S13,0,20,2408,Bacteria,2612619,522524,5.72,1,S13,A13,D0A13,D0A13,7328.64,3829391756,9.58
A2,A23,S13,0,20,2408,Bacteria,2840892,568178,5.75,2,S13,A13,D0A13,D0A13,7328.64,4163973615,9.62
A2,B15,S13,0,20,2408,Bacteria,2182892,436578,5.64,3,S13,A13,D0A13,D0A13,7328.64,3199524221,9.51
A2,B23,S14,0,20,2411,Bacteria,3786593,757319,5.88,1,S14,A14,D0A14,D0A14,8705.78,6593054124,9.82
A2,C15,S14,0,20,2411,Bacteria,1557629,311526,5.49,2,S14,A14,D0A14,D0A14,8705.78,2712077446,9.43
A2,D15,S14,0,20,2411,Bacteria,1631502,326300,5.51,3,S14,A14,D0A14,D0A14,8705.78,2840696669,9.45
A2,C23,S15,0,20,2417,Bacteria,2728460,545692,5.74,1,S15,A15,D0A15,D0A15,9441.02,5151891806,9.71
A2,E15,S15,0,20,2417,Bacteria,1921421,384284,5.58,2,S15,A15,D0A15,D0A15,9441.02,3628034845,9.56
